locus_tag	ftype	length_bp	gene	EC_number	COG	product
FKNNEFFE_00001	CDS	966	alx_1		COG0861	Putative membrane-bound redox modulator Alx
FKNNEFFE_00002	CDS	987	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
FKNNEFFE_00003	CDS	684				hypothetical protein
FKNNEFFE_00004	CDS	504	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
FKNNEFFE_00005	CDS	1137	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
FKNNEFFE_00006	CDS	417	higA_1		COG5499	Antitoxin HigA
FKNNEFFE_00007	CDS	2019	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing]
FKNNEFFE_00008	CDS	2352	ygjK	3.2.1.-	COG1626	Glucosidase YgjK
FKNNEFFE_00009	CDS	1071				hypothetical protein
FKNNEFFE_00010	CDS	1434	ygjI		COG0531	Inner membrane transporter YgjI
FKNNEFFE_00011	CDS	450	ebgC		COG2731	Evolved beta-galactosidase subunit beta
FKNNEFFE_00012	CDS	3093	ebgA	3.2.1.23	COG3250	Evolved beta-galactosidase subunit alpha
FKNNEFFE_00013	CDS	984	melR_1		COG1609	HTH-type transcriptional repressor MelR
FKNNEFFE_00014	CDS	333	ygjH		COG0073	tRNA-binding protein YgjH
FKNNEFFE_00015	CDS	1491	patA	2.6.1.82	COG4992	Putrescine aminotransferase
FKNNEFFE_00016	CDS	1521	aer		COG0840	Aerotaxis receptor
FKNNEFFE_00017	CDS	624	yqjI		COG1695	Transcriptional regulator YqjI
FKNNEFFE_00018	CDS	765	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
FKNNEFFE_00019	tRNA	76				tRNA-Met(cat)
FKNNEFFE_00020	CDS	507	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
FKNNEFFE_00021	CDS	1842	rpoD		COG0568	RNA polymerase sigma factor RpoD
FKNNEFFE_00022	CDS	1746	dnaG	2.7.7.101	COG0358	DNA primase
FKNNEFFE_00023	CDS	216	rpsU			Small ribosomal subunit protein bS21
FKNNEFFE_00024	CDS	1014	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
FKNNEFFE_00025	CDS	1464	ttdT_1		COG0471	L-tartrate/succinate antiporter
FKNNEFFE_00026	CDS	606	ttdB	4.2.1.32	COG1838	L(+)-tartrate dehydratase subunit beta
FKNNEFFE_00027	CDS	912	ttdA	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
FKNNEFFE_00028	CDS	933	dmlR_1		COG0583	HTH-type transcriptional regulator DmlR
FKNNEFFE_00029	CDS	618	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
FKNNEFFE_00030	CDS	369	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
FKNNEFFE_00031	CDS	822	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
FKNNEFFE_00032	CDS	1239	cca		COG0617	Multifunctional CCA protein
FKNNEFFE_00033	CDS	621				hypothetical protein
FKNNEFFE_00034	CDS	1302	ygiF	3.6.1.25	COG3025	Inorganic triphosphatase
FKNNEFFE_00035	CDS	2841	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
FKNNEFFE_00036	CDS	1434	hldE		COG0615	Bifunctional protein HldE
FKNNEFFE_00037	CDS	1662	yqiK		COG2268	Flotillin family inner membrane protein YqiK
FKNNEFFE_00038	CDS	630	yqiJ		COG1585	Inner membrane protein YqiJ
FKNNEFFE_00039	CDS	201	glgS			Surface composition regulator
FKNNEFFE_00040	CDS	1065				hypothetical protein
FKNNEFFE_00041	CDS	750	papD			Chaperone protein PapD
FKNNEFFE_00042	CDS	2514	papC			Outer membrane usher protein PapC
